Sport_ID,Sport
579,"Shooting Women's Air Rifle, 10 metres"
580,Shooting Women's Double Trap
581,Shooting Women's Skeet
582,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
583,"Shooting Women's Sporting Pistol, 25 metres"
584,Shooting Women's Trap
585,"Short Track Speed Skating Men's 1,000 metres"
586,"Short Track Speed Skating Men's 1,500 metres"
587,"Short Track Speed Skating Men's 5,000 metres Relay"
588,Short Track Speed Skating Men's 500 metres
589,"Short Track Speed Skating Women's 1,000 metres"
590,"Short Track Speed Skating Women's 1,500 metres"
591,"Short Track Speed Skating Women's 3,000 metres Relay"
592,Short Track Speed Skating Women's 500 metres
593,Skeleton Men's Skeleton
594,Skeleton Women's Skeleton
595,"Ski Jumping Men's Large Hill, Individual"
596,"Ski Jumping Men's Large Hill, Team"
597,"Ski Jumping Men's Normal Hill, Individual"
598,"Ski Jumping Women's Normal Hill, Individual"
599,Snowboarding Men's Boardercross
600,Snowboarding Men's Giant Slalom
601,Snowboarding Men's Halfpipe
602,Snowboarding Men's Parallel Giant Slalom
603,Snowboarding Men's Parallel Slalom
604,Snowboarding Men's Slopestyle
605,Snowboarding Women's Boardercross
606,Snowboarding Women's Giant Slalom
607,Snowboarding Women's Halfpipe
608,Snowboarding Women's Parallel Giant Slalom
609,Snowboarding Women's Parallel Slalom
610,Snowboarding Women's Slopestyle
611,Softball Women's Softball
612,"Speed Skating Men's 1,000 metres"
613,"Speed Skating Men's 1,500 metres"
614,"Speed Skating Men's 10,000 metres"
615,"Speed Skating Men's 5,000 metres"
616,Speed Skating Men's 500 metres
617,Speed Skating Men's Allround
618,Speed Skating Men's Team Pursuit (8 laps)
619,"Speed Skating Women's 1,000 metres"
620,"Speed Skating Women's 1,500 metres"
621,"Speed Skating Women's 3,000 metres"
622,"Speed Skating Women's 5,000 metres"
623,Speed Skating Women's 500 metres
624,Speed Skating Women's Team Pursuit (6 laps)
625,"Swimming Men's 1,000 metres Freestyle"
626,"Swimming Men's 1,200 metres Freestyle"
627,"Swimming Men's 1,500 metres Freestyle"
628,Swimming Men's 10 kilometres Open Water
629,Swimming Men's 100 Yard Backstroke
630,Swimming Men's 100 metres Backstroke
631,Swimming Men's 100 metres Breaststroke
632,Swimming Men's 100 metres Butterfly
633,Swimming Men's 100 metres Freestyle
634,Swimming Men's 100 metres Freestyle For Sailors
635,Swimming Men's 100 yard Freestyle
636,Swimming Men's 200 metres Backstroke
637,Swimming Men's 200 metres Breaststroke
638,Swimming Men's 200 metres Butterfly
639,Swimming Men's 200 metres Freestyle
640,Swimming Men's 200 metres Individual Medley
641,Swimming Men's 200 metres Obstacle Course
642,Swimming Men's 200 metres Team Swimming
643,Swimming Men's 220 yard Freestyle
644,Swimming Men's 4 x 100 metres Freestyle Relay
645,Swimming Men's 4 x 100 metres Medley Relay
646,Swimming Men's 4 x 200 metres Freestyle Relay
647,Swimming Men's 4 x 250 metres Freestyle Relay
648,Swimming Men's 4 x 50 Yard Freestyle Relay
649,"Swimming Men's 4,000 metres Freestyle"
650,Swimming Men's 400 metres Breaststroke
651,Swimming Men's 400 metres Freestyle
