Athlete_ID,Name,Sex,Sex_ID
377,Abdollah Chamangoli,M,1
378,Abdollah Fatemi Rika,M,1
379,Abdon Pamich,M,1
380,Abdou Alassane Dji Bo,M,1
381,Abdou Fall,M,1
382,Abdou Faye,M,1
383,Abdou Ibrahim Youssef,M,1
384,Abdou Mamadou Sow,M,1
385,Abdou Manzo,M,1
386,Abdou Selim,M,1
387,Abdou Traor,M,1
388,Abdoukerim Hamidou,M,1
389,Abdoul Karim Seck,M,1
390,Abdoul Khadre Mbaye Niane,M,1
391,Abdoul Razak Issoufou Alfaga,M,1
392,"Abdoulaye ""Abdou"" Sye Papa",M,1
393,Abdoulaye Ba,M,1
394,Abdoulaye Diallo,M,1
395,Abdoulaye Djiba,M,1
396,Abdoulaye Kote,M,1
397,Abdoulaye N'Diaye,M,1
398,Abdoulaye Samba Diallo,M,1
399,Abdoulaye Sarr,M,1
400,Abdoulaye Thera,M,1
401,Abdoulaye Thiam,M,1
402,Abdoulaye Traor,M,1
403,Abdoulaye Wagne,M,1
404,Abdoullah Bamoussa,M,1
405,Abdourahamane Diawara,M,1
406,Abdourahman Osman,M,1
407,Abdourahmane N'Diaye,M,1
408,Abdul Ahad Kharot,M,1
409,Abdul Al-Matrouk,M,1
410,Abdul Ali Maghoub,M,1
411,Abdul Atif Seif Al-Qahtani,M,1
412,Abdul Azim Mohamed Al-Aliwat,M,1
413,Abdul Aziz,M,1
414,Abdul Aziz Al-Marzoug,M,1
415,Abdul Aziz Alpak,M,1
416,Abdul Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem,M,1
417,Abdul Aziz Hassan Jalouf,M,1
418,Abdul Aziz Malik,M,1
419,Abdul Aziz Wains,M,1
420,Abdul Aziz Zakari,M,1
421,Abdul Bahar-ud-Din Rahum,M,1
422,Abdul Baser Wasiqi,M,1
423,Abdul Breesam Rahman,M,1
424,Abdul Buhari,M,1
425,Abdul Fatah Nasif Jassim,M,1
426,Abdul Fattah Haona,M,1
427,Abdul Ganiyu Salami,M,1
428,Abdul Ghafar Ghafoori,M,1
429,Abdul Ghafoor,M,1
430,Abdul Ghafoor Assar,M,1
431,Abdul Ghafoor Khan,M,1
432,Abdul Ghafoor Yusufzai,M,1
433,Abdul Ghani Assar,M,1
434,Abdul Ghani Butt,M,1
435,Abdul Ghasem Sahkdari,M,1
436,Abdul Hadi Shekaib,M,1
437,Abdul Haji Abdul Latheef,M,1
438,Abdul Hakim Wardak,M,1
439,Abdul Halim Tokmakiolu,M,1
440,Abdul Hamid,M,1
441,Abdul Hamid Fathi,M,1
442,Abdul Hamid Khan,M,1
443,Abdul Hamid Tajik,M,1
444,Abdul Haseem Khan,M,1
445,Abdul Ismail,M,1
446,Abdul Jabbar Rahima,M,1
447,Abdul Kader Dabo,M,1
448,Abdul Kadir Nuristani,M,1
449,Abdul Kareem Salah Al-Awad,M,1
450,Abdul Karim,M,1
451,Abdul Karim Daoud,M,1
452,Abdul Karim Gizar,M,1
453,Abdul Karim Joumaa,M,1
454,Abdul Karim Kakahaji,M,1
455,Abdul Karim Ohimai Amu,M,1
456,Abdul Karim Ressang,M,1
457,Abdul Khadre Daff,M,1
458,Abdul Khalik Juad,M,1
459,Abdul Khaliq,M,1
460,Abdul Lahij Ahmed,M,1
461,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,1
462,Abdul Latif Mir,M,1
463,Abdul Latif Mohamed Al-Bulushi,M,1
464,Abdul Latif Muhammad Al-Rozaihan,M,1
465,Abdul Majeed Al-Mosawi,M,1
466,Abdul Majeed Malik,M,1
467,Abdul Majeed Maruwala,M,1
468,Abdul Malik Faisal,M,1
469,Abdul Mansaray,M,1
470,Abdul Marzouk Al-Yoha,M,1
471,Abdul Mohsen Al-Bagir,M,1
472,Abdul Muhsen Ali,M,1
473,Abdul Nasser Al-Sayegh,M,1
474,Abdul Nasser Ali Al-Obaidly,M,1
475,Abdul Omar,M,1
